1926	1931
2115	2120
2737	2742
3393	3398
3548	3553
3965	3970
6171	6176
6414	6419
7403	7408
8101	8106
9315	9320
9965	9970
10510	10515
10953	10958
12821	12826
13032	13037
13126	13131
13455	13460
13655	13660
13798	13803
14276	14281
14465	14470
14622	14627
14787	14792
15478	15483
16690	16695
16901	16906
17317	17322
17683	17688
17893	17898
18850	18855
19313	19318
19678	19683
22428	22433
23342	23347
24367	24372
25180	25185
25891	25896
26677	26682
26965	26970
27221	27226
27408	27413
28019	28024
28257	28262
28464	28469
29708	29713
29947	29952
30097	30102
30660	30665
31576	31581
32557	32562
33692	33697
34642	34647
35026	35031
35124	35129
35394	35399
35670	35675
35879	35884
36521	36526
38022	38027
38309	38314
38468	38473
38951	38956
39370	39375
39565	39570
39952	39957
40014	40019
40173	40178
40493	40498
40798	40803
40932	40937
41897	41902
42717	42722
43476	43481
43599	43604
43842	43847
43969	43974
44085	44090
44279	44284
44396	44401
44590	44595
